"","id","nome","rua","bairro","atividade","datum","utm_e","utm_n","ano","classif","reutiliza","etapa_gere","etapa_ge_1","fonte_cont","meios_impa","contaminan","med_emerge","med_instit","med_remedi","med_engenh","data_inser","usuario"
"268",23,"CENTRO COMERCIAL COMBUSTIVEIS DE CAMPINAS LTDA","AV. ABELARDO POMPEU DO AMARAL 316","VILA INDUSTRIAL - CAMPINAS","Posto de Combustível","WGS84",286300,7464715,"2013","Contaminada sob investigação","S","investigação confirmatória",NA,"armazenagem","solo superficial#dentro#|águas subterrâneas#dentro#","combustíveis líquidos",NA,NA,NA,NA,"2013/11/26 15:30:53.400","1008188"
"269",110,"COMERCIAL DE COMBUSTIVEIS APOLLO F LTDA","AV. JOÃO JORGE 464","VILA INDUSTRIAL - CAMPINAS","Posto de Combustível","SAD69",288331,7464528,"2013","Em processo de remediação","N","medidas para eliminação de vazamento|investigação confirmatória|investigação detalhada e plano de intervenção",NA,"armazenagem","águas subterrâneas#dentro#|águas subterrâneas#fora#","combustíveis líquidos|solventes aromáticos|PAHs|existência de fase livre",NA,"uso água subterrânea#proposta#","extração multifásica",NA,"2013/11/26 15:33:06.884","1008188"
"270",111,"COMERCIO DE COMBUSTIVEIS APOLLO CENTER LTDA","AV. DOUTOR MORAES SALES 440","CENTRO - CAMPINAS","Posto de Combustível","SAD69",288776.08,7465192.46,"2013","Em processo de remediação","N","investigação confirmatória|investigação detalhada e plano de intervenção|remediação com monitoramento da eficiência e eficácia",NA,"armazenagem","subsolo#dentro#|águas subterrâneas#dentro#|águas subterrâneas#fora#","combustíveis líquidos|solventes aromáticos",NA,NA,"extração multifásica",NA,"2013/11/26 15:36:40.967","1008188"
"271",122,"GOLD ALASKA EMPREENDIMENTO IMOBILIARIOS LTDA","AV. GOVERNADOR PEDRO DE TOLEDO 358","JARDIM CHAPADÃO - CAMPINAS","Indústria","WGS84",287108,7465838,"2013","Reabilitada para o uso declarado","S",NA,"avaliação preliminar|investigação confirmatória|investigação detalhada|avaliação de risco/gerenciamento de risco|remediação com monitoramento da eficiência e eficácia|monitoramento para encerramento","desconhecida","solo superficial#dentro#|águas subterrâneas#dentro#","metais",NA,"uso água subterrânea#proposta#","remoção de solo/resíduo",NA,"2013/11/26 16:01:51.009","1008188"
"272",12,"GUSTAVO PAZETTI","RUA BURITIZAL 258","JARDIM ITATINGA - CAMPINAS","Indústria","WGS84",283830.84,7456753.13,"2013","Contaminada sob investigação","N",NA,"investigação confirmatória","produção|infiltração","solo superficial#dentro#|águas subterrâneas#dentro#","metais|solventes halogenados",NA,NA,NA,NA,"2013/11/26 16:11:22.865","1008188"
"273",125,"GOLD PORTUGAL EMPREENDIMENTOS IMOBILIARIOS LTDA","AV. GENERAL CARNEIRO 501","VILA JORGE - CAMPINAS","Comércio","WGS84",288530.44,7464375.11,"2013","Reabilitada para o uso declarado","S",NA,"avaliação preliminar|investigação confirmatória|investigação detalhada|monitoramento para encerramento","desconhecida","águas subterrâneas#dentro#","PAHs",NA,"uso água subterrânea#proposta#","atenuação natural monitorada",NA,"2013/11/26 16:07:11.107","1008188"
"274",10,"HELIO VALDIVIA","AV. ANCHIETA 265","CENTRO - CAMPINAS","Posto de Combustível","WGS84",288864.12,7466001.49,"2013","Em processo de monitoramento para encerramento","N","investigação confirmatória|investigação detalhada e plano de intervenção",NA,"armazenagem|infiltração","águas subterrâneas#dentro#","combustíveis líquidos|solventes aromáticos",NA,NA,"atenuação natural monitorada",NA,"2013/11/26 16:13:14.757","1008188"
"275",30,"MANGUINHOS QUIMICA S/A","RODOVIA ANHANGUERA KM 98,8","BOA VISTA - CAMPINAS","Indústria","Córrego Alegre",283295.65,7466925.23,"2013","Contaminada sob investigação","N",NA,"investigação confirmatória","armazenagem|infiltração","solo superficial#dentro#|águas subterrâneas#dentro#","combustíveis líquidos|metais|TPH",NA,NA,NA,NA,"2013/11/26 16:29:44.740","1008188"
"276",25,"LUSAN COMERCIO DE COMBUSTIVEIS LTDA","AV. ANCHIETA 702","CENTRO - CAMPINAS","Posto de Combustível","SAD69",288882.6,7466483.39,"2013","Em processo de monitoramento para encerramento","N","investigação confirmatória|investigação detalhada e plano de intervenção|monitoramento para encerramento",NA,"armazenagem","solo superficial#dentro#|subsolo#dentro#|águas subterrâneas#dentro#","combustíveis líquidos|solventes aromáticos|PAHs",NA,NA,"remoção de solo/resíduo",NA,"2013/11/26 16:28:03.098","1008188"
"277",126,"MIRACEMA - NUODEX INDUSTRIA QUIMICA LTDA","AV. RICARDO BASSOLI CIZARE 15","JARDIM SÃO JOSÉ - CAMPINAS","Indústria","WGS84",284794.7,7459046.1,"2013","Contaminada sob investigação","N",NA,"investigação confirmatória","armazenagem","subsolo#dentro#|águas subterrâneas#dentro#","metais",NA,NA,NA,NA,"2013/11/26 16:34:14.564","1008188"
"278",34,"POSTO DO RAFA LTDA","RUA GENERAL CARNEIRO 19","PONTE PRETA - CAMPINAS","Posto de Combustível","SAD69",289043.24,7464300.91,"2013","Em processo de remediação","N","investigação confirmatória",NA,"armazenagem","subsolo#dentro#|águas subterrâneas#dentro#","combustíveis líquidos|PAHs","monitoramento ambiental","uso água subterrânea#comunicada#","bombeamento e tratamento|recuperação fase livre",NA,"2013/11/26 16:52:29.419","1008188"
"279",32,"POSTO ANDORINHAS LTDA","AV. JOSÉ DE SOUZA CAMPOS  2101","CAMBUI - CAMPINAS","Posto de Combustível","WGS84",290230.01,7467445.93,"2013","Contaminada sob investigação","N","investigação confirmatória",NA,"armazenagem","águas subterrâneas#dentro#","combustíveis líquidos",NA,NA,NA,NA,"2013/11/26 16:42:14.057","1008188"
"280",27,"POSTO GARCIA DE CAMPINAS LTDA","RODOVIA ANAHANGUERA KM 99","JARDIM EULINA - CAMPINAS","Posto de Combustível","WGS84",283306.77,7467298.21,"2013","Em processo de monitoramento para encerramento","N","investigação confirmatória|investigação detalhada e plano de intervenção|monitoramento para encerramento",NA,"armazenagem","subsolo#dentro#|águas subterrâneas#dentro#","combustíveis líquidos|solventes aromáticos|PAHs|existência de fase livre","monitoramento ambiental","uso água subterrânea#proposta#","sem medida de remediação",NA,"2013/11/26 16:56:20.346","1008188"
